"title_name","title_provider","title_provider_location","description","all_logos","all_reviews","website_url","page_url"
"Bizdata Insights","","Bangladesh","Explore Bizdata Insights’ datasets, databases, and data feeds.
The supported pricing models for Bizdata Insights’ data are available by getting in contact with them via Datarade.
Get talking to a member of the Bizdata Insights team to receive custom pricing options,
                information about data subscription fees, and quotes for Bizdata Insights’ data offering tailored to your use case.","","","https://bizdatainsights.com/","https://datarade.ai/data-providers/bizdata-insights/
"
"Zonda Home","","USA","Learn about Zonda Home’s prices, subscription cost, and API pricing.
The supported pricing models for Zonda Home’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Zonda Home team to receive custom pricing options,
                information about data subscription fees, and quotes for Zonda Home’s data offering tailored to your use case.","","","https://zondahome.com/about/","https://datarade.ai/data-providers/zonda-home/
"
"XIQ Inc.","","USA","Learn about XIQ Inc. ’s prices, subscription cost, and API pricing.
The supported pricing models for XIQ Inc. ’s data are available by getting in contact with them via Datarade.
Get talking to a member of the XIQ Inc.  team to receive custom pricing options,
                information about data subscription fees, and quotes for XIQ Inc. ’s data offering tailored to your use case.","","","https://xiqinc.com/","https://datarade.ai/data-providers/99-developer/
"
"Blume Technologies SET-UP","","Romania","Learn about Blume Technologies SET-UP ’s prices, subscription cost, and API pricing.
The supported pricing models for Blume Technologies SET-UP ’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Blume Technologies SET-UP  team to receive custom pricing options,
                information about data subscription fees, and quotes for Blume Technologies SET-UP ’s data offering tailored to your use case.","","","https://www.blume.ro/","https://datarade.ai/data-providers/blume-technologies-set-up/
"
"GSpatial.ai","","India","Explore GSpatial.ai’s datasets, databases, and data feeds.
The supported pricing models for GSpatial.ai’s data are available by getting in contact with them via Datarade.
GSpatial.ai offers free samples for individual data requirements.
Get talking to a member of the GSpatial.ai team to receive custom pricing options,
                information about data subscription fees, and quotes for GSpatial.ai’s data offering tailored to your use case.","","","https://www.gspatial.ai/","https://datarade.ai/data-providers/gspatial/
"
"Nymblr, Inc.","4.8(3)Verified Data Provider","USA","Explore Nymblr, Inc.’s datasets, databases, and data feeds.
We offer flexible pricing plans starting at $249/month. Please, contact us to discuss your unique needs.


        Nymblr, Inc.’s APIs and datasets range in cost from $249 / month to
          $5,000 / purchase.
Nymblr, Inc. offers free samples for individual data requirements.
Get talking to a member of the Nymblr, Inc. team to receive custom pricing options,
                information about data subscription fees, and quotes for Nymblr, Inc.’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_4af997bf5d7b3f5e.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_ef971c500f1eab78.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_7ffbd7a0ea488bd1.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_8b2707e59fdbcc54.png"" ","Anonymous,Hidden Company; Anonymous,Hidden Company; Manun Thakur,Hidden Company","https://www.nymblr.com/","https://datarade.ai/data-providers/nymblr-inc/
"
"Alesco Data","","USA","Explore Alesco Data’s datasets, databases, and data feeds.
Alesco Data offers flexible pricing available to meet all your business needs. We make our data available via annual licensing, as well as on a transactional basis.
Costs range from $20/per thousand records to $250,000 for an annual license. Alesco offers free data samples for testing. Please reach out to a member of the Alesco Data team to receive custom pricing options, information about data license fees, and recommendations and pricing for data offering tailored to your use case.


        The supported pricing models for Alesco Data’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Alesco Data team to receive custom pricing options,
                information about data subscription fees, and quotes for Alesco Data’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_20a574a69de3153c.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_f9b4cce8ad8901ca.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_520759d502ff638a.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_753e418e100c704c.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_8e1379f50a6d83cc.jpg"" ","","https://alescodata.com/","https://datarade.ai/data-providers/alesco-data/
"
"Richmond Global Sciences","","United Kingdom","Explore Richmond Global Sciences’ datasets, databases, and data feeds.
The supported pricing models for Richmond Global Sciences’ data are available by getting in contact with them via Datarade.
Richmond Global Sciences offers free samples for individual data requirements.
Get talking to a member of the Richmond Global Sciences team to receive custom pricing options,
                information about data subscription fees, and quotes for Richmond Global Sciences’ data offering tailored to your use case.","","","http://esg.rgsciences.com","https://datarade.ai/data-providers/richmond-global-sciences/
"
"AGR Marketing","","USA","Review and buy AGR Marketing’s datasets, effortlessly.
Data acquisition is available through one-off CPM or flat rate pricing, monthly reoccurring flat rate, or annual license subscription.
One-off pricing has a $1,000 minimum charge. 
The CPM price can vary from $30/M to $75/M
Annual license will vary based upon the number of data files or custom solution.


        AGR Marketing’s APIs and datasets start at $1,000.
AGR Marketing offers free samples for individual data requirements.
Get talking to a member of the AGR Marketing team to receive custom pricing options,
                information about data subscription fees, and quotes for AGR Marketing’s data offering tailored to your use case.","","","https://agrmarketingsolutions.com/","https://datarade.ai/data-providers/agr-marketing/
"
"SemanticForce LLC","","Ukraine","Explore SemanticForce LLC’s datasets, databases, and data feeds.
1 week free trial available


        The supported pricing models for SemanticForce LLC’s data are available by getting in contact with them via Datarade.
Get talking to a member of the SemanticForce LLC team to receive custom pricing options,
                information about data subscription fees, and quotes for SemanticForce LLC’s data offering tailored to your use case.","","","https://semanticforce.ai/en","https://datarade.ai/data-providers/semanticforce-llc/"
