"page_url","title","cook_time","description","recipe_instructions","image_url","recipe_ingredients","prep_time","servings","total_time","current_timestamp"
"https://www.allrecipes.com/recipe/233531/quick-whole-wheat-chapati/","Quick Whole Wheat Chapati","10 min","Fresh whole wheat chapati is quick, easy, and delicious; perfect with butter, as an accompaniment, or as a wrap!","Mix flour and salt together in a bowl. Stir in water to form a soft dough; Turn dough out onto a lightly floured work surface and knead several times. Divide into 8 pieces and roll each into a ball. Roll each ball into a very thin round using a rolling pin; Heat a griddle over medium-high heat. Cook each dough round on griddle until dough bubbles and blisters appear, about 2 minutes. Flip and cook until lightly browned on the other side.","https://www.allrecipes.com/thmb/4-iInQk-_4eRpYXUY_5mVErJsyE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8553184-quick-whole-wheat-chapati-Lenka-4x3-1-4b53f342050f490891486f874d0d0e03.jpg","2.5 cups whole wheat flour, 0.75 teaspoon salt, 1 cup water","10 min","8","20 min","2022-12-17T18:13:21Z"
"https://www.allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/","Jamie&#39;s Sweet and Easy Corn on the Cob","5 min","Corn on the cob is cooked in boiled water that&#39;s flavored with a little sugar and lemon juice to make the sweetest, quickest, tastiest corn.","Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice until sugar is dissolved; Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let corn cook in the hot water until tender, about 10 minutes.","https://www.allrecipes.com/thmb/DgFVZ9PgNfKIVkMqT_2JDYUyyoE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/222352-jamies-sweet-and-easy-corn-on-the-cob-rae-1x1-1-b9082581de2e4f34b3271f6646bcc7c6.jpg","2 tablespoons white sugar, 1 tablespoon lemon juice, 6 ears corn on the cob, husks and silk removed","5 min","6","20 min","2022-12-17T18:13:22Z"
"https://www.allrecipes.com/recipe/13107/miso-soup/","Miso Soup","10 min","This miso soup is easy to make in just 15 minutes with dashi stock, miso paste, silken tofu, and green onions for a deliciously savory appetizer.","Combine water and dashi granules in a medium saucepan over medium-high heat; bring to a boil. Reduce heat to medium and whisk in miso paste. Stir in tofu. Separate the layers of green onions, and add them to the soup. Simmer gently for 2 to 3 minutes before serving.","https://www.allrecipes.com/thmb/T7eho8sl1fY9jPYYxarvQ4DG1Ew=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/13107-miso-soup-Melissa-Goff-1x1-1-2962011c74e340fd8afbfaf43ac4b6f2.jpg","4 cups water, 2 teaspoons dashi granules, 3 tablespoons miso paste, 1 (8 ounce) package silken tofu, diced, 2 green onions, sliced diagonally into 1/2 inch pieces","5 min","4","15 min","2022-12-17T18:13:23Z"
"https://www.allrecipes.com/recipe/176957/baked-kale-chips/","Baked Kale Chips","20 min","This easy recipe for baked kale chips is simply the best. With only 3 ingredients, the kale chips turn out perfectly crispy and are a great homemade snack.","Preheat an oven to 300 degrees F (150 degrees C). Line a rimmed baking sheet with parchment paper; With a knife or kitchen shears carefully remove kale leaves from the thick stems and tear into bite size pieces. Wash and thoroughly dry kale with a salad spinner. Drizzle kale leaves with olive oil and toss to combine. Spread out in an even layer on the baking sheet without overlapping and sprinkle with salt; Bake until the edges start to brown but are not burnt, 20 to 30 minutes.","https://www.allrecipes.com/thmb/ni-BHPFmJ9GsrPhUafdCinYfMMk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/176957-BakedKaleChips_001-fd36f2a00fd3408c96d91994b24a2cf9.jpg","1 bunch kale, 1 tablespoon olive oil, 1 teaspoon flaked sea salt","10 min","6","30 min","2022-12-17T18:13:23Z"
"https://www.allrecipes.com/recipe/51301/sarahs-applesauce/","Sarah&#39;s Homemade Applesauce","15 min","This applesauce recipe is easy to make from scratch with apples, sugar, and cinnamon for a delicious topping on pancakes, ice cream, or pork chops.","Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes; Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like.","https://www.allrecipes.com/thmb/VY5d0tZHB8xz6y-ef586jR050FE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25840-Sarahs-Applesauce-2000-56080bc8aac64df59aeec895f1875fc0.jpg","4 apples - peeled, cored and chopped, 0.75 cup water, 0.25 cup white sugar, 0.5 teaspoon ground cinnamon","10 min","4","25 min","2022-12-17T18:13:24Z"
"https://www.allrecipes.com/recipe/51226/a-very-popular-bbq-sauce/","Homemade BBQ Sauce","","This quick and easy homemade barbecue sauce has just the right mixture of sweetness and spice. Adjust seasoning to your personal taste.","Combine brown sugar, ketchup, vinegar, water, and Worcestershire sauce in a blender. Season with mustard, paprika, salt, pepper, and hot pepper sauce. Blend until smooth.","https://www.allrecipes.com/thmb/gBmN2lnMxRkrNRu1_O7d7U484aU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/51226-A-Very-Popular-BBQ-Sauce-mfs-1-7b9f214657754e8094f8d3bf9632717c.jpg","1.5 cups brown sugar, 1.5 cups ketchup, 0.5 cup red wine vinegar, 0.5 cup water, 1 tablespoon Worcestershire sauce, 2.5 tablespoons dry mustard, 2 teaspoons paprika, 2 teaspoons salt, 1.5 teaspoons black pepper, 2 dashes hot pepper sauce","10 min","32","10 min","2022-12-17T18:13:25Z"
"https://www.allrecipes.com/recipe/57783/emilys-famous-hash-browns/","Crispy Hash Browns","15 min","These crispy, homemade hash browns are quick, easy, and family-friendly, making them perfect as a side dish for any breakfast or brunch on weekdays or weekends.","Rinse shredded potatoes until water is clear, then drain and squeeze dry. Place shreds in a bowl and mix in the onion, flour, and egg until evenly distributed; Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes; Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping; Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately.","https://www.allrecipes.com/thmb/XU7fQeQn0TRqC26zsaTCzoCu8kg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/57783-Emilys-Famous-Hash-Browns-mfs-036-ddf9c0b0fe284c3e9acf3de9dad4db0a.jpg","2 medium russet potatoes, shredded, 0.5 medium onion, finely chopped, 0.25 cup all-purpose flour, 1 egg, 1 cup oil for frying, or as needed, salt and pepper to taste","20 min","4","35 min","2022-12-17T18:13:25Z"
"https://www.allrecipes.com/recipe/214947/perfect-summer-fruit-salad/","Perfect Summer Fruit Salad","5 min","This fantastic fruit salad combines pineapple, kiwi, bananas, oranges, grapes, and berries in a sweet citrusy sauce for a colorful dessert.","For the sauce: Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low and simmer until slightly thickened, about 5 minutes. Remove from heat and stir in vanilla extract. Set aside to cool; For the salad: Layer fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour cooled sauce over fruit; cover and refrigerate for 3 to 4 hours before serving.","https://www.allrecipes.com/thmb/pXqfb4xf-T3a-trkKdu-SCfC1hI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2289556-0981629410f0446d9bec11f0a9ece43c.jpg","0.66666668653488 cup fresh orange juice, 0.33333334326744 cup fresh lemon juice, 0.33333334326744 cup packed brown sugar, 0.5 teaspoon grated orange zest, 0.5 teaspoon grated lemon zest, 1 teaspoon vanilla extract, 2 cups cubed fresh pineapple, 2 cups strawberries, hulled and sliced, 3 kiwi fruit, peeled and sliced, 3 bananas, sliced, 2 oranges, peeled and sectioned, 1 cup seedless grapes, 2 cups blueberries","25 min","10","210 min","2022-12-17T18:13:26Z"
"https://www.allrecipes.com/recipe/13384/split-pea-soup/","Split Pea Soup","120 min","This hearty split pea soup recipe features potatoes, carrots, celery, marjoram, and chunks of ham; perfect nourishment on a cold and blustery day!","Place peas in a large stockpot and cover with several inches of cold water; let soak, 8 hours to overnight. Drain, rinse, and return peas to the pot; Add 2 quarts of cold water, ham bone, onion, salt, pepper, and marjoram to the stockpot. Cover, bring to a boil, and simmer for 1 1/2 hours, stirring occasionally; Remove ham bone; cut off meat, dice, and return meat to soup. Add celery, carrots, and potatoes. Cook slowly, uncovered, until vegetables are tender, about 30 to 40 minutes.","https://www.allrecipes.com/thmb/8JTErB4eGgJU0RnpbksGgH7ClgE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Split-Pea-Soup-Maggie-Stryjewska-Kara-2afe02a1fb5942a4a4ac5d5582acfba6.jpg","2.25 cups dried split peas, 2 quarts cold water, plus more as needed, 1.5 pounds ham bone, 2 onions, thinly sliced, 0.5 teaspoon salt, 0.25 teaspoon ground black pepper, 1 pinch dried marjoram, 3 stalks celery, chopped, 3 carrots, chopped, 1 potato, diced","15 min","6","615 min","2022-12-17T18:13:27Z"
"https://www.allrecipes.com/recipe/18465/gnocchi-i/","Gnocchi","30 min","Gnocchi is easy to make with just three easy ingredients: mashed potato, flour and an egg — that&#39;s all you need to knead for gnocchi!","Bring a large pot of salted water to a boil; add potatoes and cook until tender but still firm, about 15 minutes. Drain, cool, and mash with a fork or potato masher; Combine 1 cup mashed potato, flour, and egg in a large bowl. Knead until dough forms a ball. Shape small portions of the dough into long &#34;snakes&#34;. On a floured surface, cut snakes into 1/2-inch pieces; Bring a large pot of lightly salted water to a boil. Drop in gnocchi and cook for 3 to 5 minutes or until gnocchi have risen to the top; drain and serve.","https://www.allrecipes.com/thmb/jOPKFsr6fvXjxAaRXThxTL6UTv8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1070416-a1a6c982aaef4da3acfdda0ae7f3b87f.jpg","2 potatoes, peeled, 2 cups all-purpose flour, 1 egg","30 min","4","60 min","2022-12-17T18:13:27Z"
